HGNC	Module_Label
NUFIP2	-
MLLT6	-
RUNDC3A	-
RGS9	-
RNF43	-
WNT3	-
ASPA	-
RAD51C	-
MTMR4	-
TUBD1	-
GOSR2	-
CDK5RAP3	-
RECQL5	-
PIGL	-
GALK1	-
TEN1	-
CAMTA2	-
ENO3	-
SLC25A11	-
RASD1	-
BLMH	-
CPD	-
GOSR1	-
CCDC47	-
MED31	-
AKAP10	-
SMARCD2	-
ICAM2	-
SYNGR2	-
UTP6	-
CYTH1	-
PSMD11	-
ACCN1	-
PEX12	-
KAT2A	-
NAGLU	-
HSD17B1P1	-
HSD17B1	-
PPP1R9B	-
SGCA	-
MRPL27	-
VAT1	-
ALOX12	-
HDAC5	-
MPP2	-
EFNB3	-
YWHAE	-
AC016292.3	-
RANGRF	-
MAP2K6	-
DHRS7B	-
RCVRN	-
MYH3	-
TMEM104	-
TNFAIP1	-
IFT20	-
UNC119	-
ALDOC	-
TMEM33	-
GNRHR	-
SLAIN2	-
CHIC2	-
NFKB1	-
MANBA	-
UBE2D3	-
ELF2	-
NDUFC1	-
ZNF330	-
INPP4B	-
GAR1	-
AADAT	-
TRIM2	-
TBC1D19	-
MFSD10	-
RAPGEF2	-
SNX25	-
UFSP2	-
KLHL5	-
FAM149A	-
DDX25	-
CCDC34	-
TECTA	-
C11ORF63	-
B3GAT1	-
HSPA8	-
SNX15	-
LPXN	-
DTX4	-
ATG2A	-
OSBP	-
FOXRED1	-
PPP6R3	-
CCDC86	-
PRPF19	-
CCKBR	-
TRIM3	-
CHORDC1	-
C11ORF51	-
ARHGEF17	-
RNF141	-
KIAA1377	-
IL10RA	-
UBE4A	-
HIPK3	-
FBXO3	-
MDK	-
AMBRA1	-
NAA40	-
CARS	-
SLC22A18	-
CD81	-
ELMOD1	-
NDUFS8	-
CHKA	-
EXPH5	-
PTPN5	-
PRPF40B	-
COQ5	-
KCTD10	-
SLC11A2	-
MLEC	-
MVK	-
ATP5B	-
SYT10	-
RSRC2	-
MYF6	-
LIN7A	-
KRT18	-
LTA4H	-
WNT5B	-
MAGOHB	-
ITFG2	-
PRR4	-
ARPC3	-
SH2B3	-
AKAP3	-
MANSC1	-
ALDH2	-
NAA25	-
GSG1	-
GTF2H3	-
EIF2B1	-
ENDOU	-
C12ORF49	-
RFC5	-
STX2	-
GPR133	-
CPSF6	-
KRR1	-
MRPL51	-
GAPDH	-
CHPT1	-
USP5	-
TPI1	-
GNPTAB	-
SPSB2	-
LPCAT3	-
SUDS3	-
GOLT1B	-
LDHB	-
GATC	-
RIC8B	-
SRSF9	-
RP11-22B23.1	-
FGFR1OP2	-
KLRB1	-
FRK	-
RSPH4A	-
TMEM14C	-
GCNT2	-
C6ORF162	-
C6ORF204	-
C6ORF105	-
FAM184A	-
MAN1A1	-
HINT3	-
FAM65B	-
MTRF1L	-
PPARD	-
OPRM1	-
MAPK14	-
RHAG	-
KCTD20	-
STK38	-
PHACTR1	-
MDGA1	-
CD83	-
MDN1	-
BAG2	-
RAB23	-
TSPO2	-
GPR63	-
KHDRBS2	-
FBXL4	-
CCNC	-
E2F3	-
PTP4A1	-
ASCC3	-
MED23	-
WASF1	-
GPLD1	-
ALDH5A1	-
VNN2	-
ACOT13	-
SMAP1	-
C6ORF62	-
EYA4	-
PEX7	-
FIG4	-
SLC16A10	-
HECA	-
GPR126	-
EPM2A	-
SLC39A7	-
CUTA	-
PACRG	-
TBP	-
PRPH2	-
PPP2R5D	-
SRF	-
CUL9	-
NUDT3	-
C6ORF108	-
COX7A2	-
TMEM30A	-
GMDS	-
SENP6	-
IMPG1	-
WISP3	-
BTN2A1	-
FAM46A	-
ERBB2IP	-
NUDT12	-
CEP72	-
MAN2A1	-
HMGCS1	-
BRD8	-
NNT	-
MRPS30	-
HSPA9	-
PFDN1	-
HBEGF	-
LOX	-
APBB3	-
IK	-
HMGCR	-
FAF2	-
PCDHB3	-
PCDHB5	-
PCDHB6	-
PDE8B	-
CLK4	-
RNF130	-
ARSB	-
CLINT1	-
THBS4	-
TTC1	-
MSH3	-
POLR3G	-
CDH6	-
LMNB1	-
GOLPH3	-
SUB1	-
FAM172A	-
SLC27A6	-
TARS	-
PDE4D	-
PRLR	-
ST8SIA4	-
GNPDA1	-
NUP155	-
NR3C1	-
C5ORF15	-
PPWD1	-
TXNDC15	-
TTC33	-
DPYSL3	-
