"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"223","3","DMSO","13","10","GFP",131.589195184763
"224","3","DMSO","13","11","GFP",309.573594287255
"225","3","DMSO","13","12","GFP",319.024119289846
"226","3","DMSO","13","3","GFP",198.794721610245
"227","3","DMSO","13","4","GFP",513.094703270679
"228","3","DMSO","13","5","GFP",220.401307800686
"229","3","DMSO","13","7","GFP",231.397756550479
"230","3","DMSO","13","8","GFP",206.161291292926
"188","3","DMSO","14","13","MKO2",501.119376064124
"240","3","DMSO","14","11","MKO2",214.441374106033
"241","3","DMSO","14","12","MKO2",421.570046451311
"242","3","DMSO","14","3","MKO2",357.87425023727
"243","3","DMSO","14","4","MKO2",205.466421678611
"244","3","DMSO","14","5","MKO2",143.787639130464
"245","3","DMSO","14","8","MKO2",209.130102804889
"246","3","DMSO","14","9","MKO2",477.683528566175
"234","3","DMSO","14","1","GFP",501.407210772609
"235","3","DMSO","14","3","GFP",332.587748583911
"236","3","DMSO","14","4","GFP",357.332671074237
"237","3","DMSO","14","5","GFP",100.551229494146
"238","3","DMSO","14","6","GFP",141.836907243713
"239","3","DMSO","14","7","GFP",772.733384772466
"189","3","DMSO","15","12","MKO2",405.782517545729
"190","3","DMSO","15","8","MKO2",278.698819642108
"257","3","DMSO","15","1","MKO2",348.644614183015
"258","3","DMSO","15","10","MKO2",440.927245916764
"259","3","DMSO","15","2","MKO2",505.833626898259
"260","3","DMSO","15","3","MKO2",604.210725021931
"261","3","DMSO","15","9","MKO2",395.263878186447
"191","3","DMSO","15","4","GFP",65.0377382879859
"192","3","DMSO","15","7","GFP",164.320034973105
"247","3","DMSO","15","1","GFP",336.228457949502
"248","3","DMSO","15","10","GFP",295.093552602876
"249","3","DMSO","15","11","GFP",377.329286608525
"250","3","DMSO","15","12","GFP",120.219496524717
"251","3","DMSO","15","13","GFP",229.260867713776
"252","3","DMSO","15","2","GFP",217.947279581349
"253","3","DMSO","15","3","GFP",384.333440670898
"254","3","DMSO","15","5","GFP",677.470193663715
"255","3","DMSO","15","8","GFP",305.112069925596
"256","3","DMSO","15","9","GFP",430.015565539937
"193","3","DMSO","16","1","MKO2",226.457487703791
"194","3","DMSO","16","2","MKO2",289.239771702774
"195","3","DMSO","16","3","MKO2",238.863748619264
"196","3","DMSO","16","4","MKO2",430.073256914856
"197","3","DMSO","16","5","MKO2",174.28692374959
"198","3","DMSO","16","7","MKO2",119.560007827117
"199","3","DMSO","16","1","GFP",205.345615139376
"200","3","DMSO","16","2","GFP",283.736927617745
"201","3","DMSO","16","3","GFP",340.273694225458
"202","3","DMSO","16","6","GFP",267.375332354028
"203","3","DMSO","17","10","MKO2",391.697103023557
"204","3","DMSO","17","13","MKO2",469.131858833856
"205","3","DMSO","17","14","MKO2",278.219421849916
"206","3","DMSO","17","4","MKO2",193.050918539957
"207","3","DMSO","17","8","MKO2",402.290336989495
"208","3","DMSO","17","11","GFP",316.596228804646
"209","3","DMSO","17","3","GFP",311.516668598949
"210","3","DMSO","17","7","GFP",35.3241604312062
"211","3","DMSO","17","8","GFP",89.7425235255094
"212","3","DMSO","17","9","GFP",378.702126544949
"213","3","DMSO","18","13","MKO2",960.708299559906
"214","3","DMSO","18","14","MKO2",635.623509903498
"215","3","DMSO","18","15","MKO2",220.17434655493
"216","3","DMSO","18","3","MKO2",1237.67213177876
"217","3","DMSO","18","4","MKO2",312.944960472518
"218","3","DMSO","18","1","GFP",194.161419114476
"219","3","DMSO","18","2","GFP",366.368215206646
"220","3","DMSO","18","3","GFP",432.600294923961
"221","3","DMSO","18","9","GFP",483.11019438492
"366","3","IGF1","13","11","MKO2",416.851981735816
"367","3","IGF1","13","14","MKO2",403.523894627857
"368","3","IGF1","13","15","MKO2",496.428387519074
"369","3","IGF1","13","16","MKO2",139.557554944344
"370","3","IGF1","13","18","MKO2",498.007457597235
"371","3","IGF1","13","20","MKO2",397.002970428687
"372","3","IGF1","13","22","MKO2",191.854340501534
"373","3","IGF1","13","4","MKO2",202.744641402486
"374","3","IGF1","13","8b","MKO2",256.271148071399
"375","3","IGF1","13","9","MKO2",157.704447109857
"376","3","IGF1","13","3","MKO2",443.18363445192
"377","3","IGF1","13","8a","MKO2",128.139402314719
"358","3","IGF1","13","14","GFP",725.9464534354
"359","3","IGF1","13","7","GFP",520.211346630613
"360","3","IGF1","13","10","GFP",156.75330814971
"361","3","IGF1","13","13","GFP",747.126578901268
"362","3","IGF1","13","15","GFP",555.677041064951
"363","3","IGF1","13","2","GFP",152.970408325562
"364","3","IGF1","13","3","GFP",197.505720563637
