"exp_ID" "wellID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "imagebatchID" "imageID" "Syn_Number" "Dend_Length" "Setup" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label" "growth_condition"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "4" 0.757516424954888 1.02090577395933 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "5" 0.505010949969925 1.10961499091517 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "6" 1.13627463743233 0.862186648123429 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "7" 0.547095195800752 1.22132178638246 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 8 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "1" 0.967937654109024 1.52996300256162 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 8 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "2" 1.72545407906391 0.870800935057855 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 8 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "3" 0.462926704139098 1.3624607072722 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 8 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "6" 3.07214994565038 1.95184145671755 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 8 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 "7" 1.05210614577068 0.492721288128427 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 9 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "1" 0.582364765259025 0.699788229318097 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 9 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "1l" 1.33943896009576 1.59917772959174 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 9 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "2" 0.815310671362636 0.641240924145983 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 9 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKO2" "SHANK2 R841X" 1 "4" 1.57238486619937 1.39352704691677 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
